回,受賞年,著者名,タイトル
1,1935年上半期,石川達三,蒼氓
2,1935年下半期,-,該当作品なし
3,1936年上半期,鶴田知也,コシャマイン記
3,1936年上半期,小田嶽夫,城外
4,1936年下半期,冨澤有爲男,地中海
4,1936年下半期,石川淳,普賢
5,1937年上半期,尾崎一雄,暢氣眼鏡 他
6,1937年下半期,火野葦平,糞尿譚
7,1938年上半期,中山義秀,厚物咲
8,1938年下半期,中里恒子,乗合馬車 他
9,1939年上半期,長谷健,あさくさの子供
9,1939年上半期,半田義之,鶏騒動
10,1939年下半期,寒川光太郎,密獵者
11,1940年上半期,-,該当作品なし
12,1940年下半期,櫻田常久,平賀源内
13,1941年上半期,多田裕計,長江デルタ
14,1941年下半期,芝木好子,青果の市
15,1942年上半期,-,該当作品なし
16,1942年下半期,倉光俊夫,連絡員
17,1943年上半期,石塚喜久三,纏足の頃
18,1943年下半期,東野邊薫,和紙
19,1944年上半期,小尾十三,登攀
19,1944年上半期,八木義徳,劉廣福
20,1944年下半期,清水基吉,雁立
21,1949年上半期,由起しげ子,本の話
21,1949年上半期,小谷剛,確証
22,1949年下半期,井上靖,闘牛
23,1950年上半期,辻亮一,異邦人
24,1950年下半期,-,該当作品なし
25,1951年上半期,石川利光,春の草 他
25,1951年上半期,安部公房,壁
26,1951年下半期,堀田善衛,広場の孤独・漢奸その他
27,1952年上半期,-,該当作品なし
28,1952年下半期,松本清張,或る「小倉日記」伝
28,1952年下半期,五味康祐,喪神
29,1953年上半期,安岡章太郎,悪い仲間・陰気な愉しみ
30,1953年下半期,-,該当作品なし
31,1954年上半期,吉行淳之介,驟雨・その他
32,1954年下半期,庄野潤三,プールサイド小景
32,1954年下半期,小島信夫,アメリカン・スクール
33,1955年上半期,遠藤周作,白い人
34,1955年下半期,石原慎太郎,太陽の季節
35,1956年上半期,近藤啓太郎,海人舟
36,1956年下半期,-,該当作品なし
37,1957年上半期,菊村到,硫黄島
38,1957年下半期,開高健,裸の王様
39,1958年上半期,大江健三郎,飼育
40,1958年下半期,-,該当作品なし
41,1959年上半期,斯波四郎,山塔
42,1959年下半期,-,該当作品なし
43,1960年上半期,北杜夫,夜と霧の隅で
44,1960年下半期,三浦哲郎,忍ぶ川
45,1961年上半期,-,該当作品なし
46,1961年下半期,宇能鴻一郎,鯨神
47,1962年上半期,川村晃,美談の出発
48,1962年下半期,-,該当作品なし
49,1963年上半期,河野多惠子,蟹
49,1963年上半期,後藤紀一,少年の橋
50,1963年下半期,田辺聖子,感傷旅行センチメンタル・ジャーニィ
51,1964年上半期,柴田翔,されどわれらが日々──
52,1964年下半期,-,該当作品なし
53,1965年上半期,津村節子,玩具
54,1965年下半期,高井有一,北の河
55,1966年上半期,-,該当作品なし
56,1966年下半期,丸山健二,夏の流れ
57,1967年上半期,大城立裕,カクテル・パーティー
58,1967年下半期,柏原兵三,徳山道助の帰郷
59,1968年上半期,大庭みな子,三匹の蟹
59,1968年上半期,丸谷才一,年の残り
60,1968年下半期,-,該当作品なし
61,1969年上半期,田久保英夫,深い河
61,1969年上半期,庄司薫,赤頭巾ちゃん気をつけて
62,1969年下半期,清岡卓行,アカシヤの大連
63,1970年上半期,古山高麗雄,プレオー8の夜明け
63,1970年上半期,吉田知子,無明長夜
64,1970年下半期,古井由吉,杳子
65,1971年上半期,-,該当作品なし
66,1971年下半期,東峰夫,オキナワの少年
66,1971年下半期,李恢成,砧をうつ女
67,1972年上半期,宮原昭夫,誰かが触った
67,1972年上半期,畑山博,いつか汽笛を鳴らして
68,1972年下半期,郷静子,れくいえむ
68,1972年下半期,山本道子,ベティさんの庭
69,1973年上半期,三木卓,鶸
70,1973年下半期,森敦,月山
70,1973年下半期,野呂邦暢,草のつるぎ
71,1974年上半期,-,該当作品なし
72,1974年下半期,阪田寛夫,土の器
72,1974年下半期,日野啓三,あの夕陽
73,1975年上半期,林京子,祭りの場
74,1975年下半期,岡松和夫,志賀島
74,1975年下半期,中上健次,岬
75,1976年上半期,村上龍,限りなく透明に近いブルー
76,1976年下半期,-,該当作品なし
77,1977年上半期,池田満寿夫,エーゲ海に捧ぐ
77,1977年上半期,三田誠広,僕って何
78,1977年下半期,高城修三,榧の木祭り
78,1977年下半期,宮本輝,螢川
79,1978年上半期,高橋三千綱,九月の空
79,1978年上半期,高橋揆一郎,伸予
80,1978年下半期,-,該当作品なし
81,1979年上半期,青野聰,愚者の夜
81,1979年上半期,重兼芳子,やまあいの煙
82,1979年下半期,森禮子,モッキングバードのいる町
83,1980年上半期,-,該当作品なし
84,1980年下半期,尾辻克彦,父が消えた
85,1981年上半期,吉行理恵,小さな貴婦人
86,1981年下半期,-,該当作品なし
87,1982年上半期,-,該当作品なし
88,1982年下半期,唐十郎,佐川君からの手紙
88,1982年下半期,加藤幸子,夢の壁
89,1983年上半期,-,該当作品なし
90,1983年下半期,高樹のぶ子,光抱く友よ
90,1983年下半期,笠原淳,杢二の世界
91,1984年上半期,-,該当作品なし
92,1984年下半期,木崎さと子,青桐
93,1985年上半期,-,該当作品なし
94,1985年下半期,米谷ふみ子,過越しの祭
95,1986年上半期,-,該当作品なし
96,1986年下半期,-,該当作品なし
97,1987年上半期,村田喜代子,鍋の中
98,1987年下半期,三浦清宏,長男の出家
98,1987年下半期,池澤夏樹,スティル・ライフ
99,1988年上半期,新井満,尋ね人の時間
100,1988年下半期,李良枝,由煕
100,1988年下半期,南木佳士,ダイヤモンドダスト
101,1989年上半期,-,該当作品なし
102,1989年下半期,瀧澤美恵子,ネコババのいる町で
102,1989年下半期,大岡玲,表層生活
103,1990年上半期,辻原登,村の名前
104,1990年下半期,小川洋子,妊娠カレンダー
105,1991年上半期,荻野アンナ,背負い水
105,1991年上半期,辺見庸,自動起床装置
106,1991年下半期,松村栄子,至高聖所アバトーン
107,1992年上半期,藤原智美,運転士
108,1992年下半期,多和田葉子,犬婿入り
109,1993年上半期,吉目木晴彦,寂寥郊野
110,1993年下半期,奥泉光,石の来歴
111,1994年上半期,笙野頼子,タイムスリップ・コンビナート
111,1994年上半期,室井光広,おどるでく
