回,受賞年,著者名,タイトル
1,1988,高橋源一郎,優雅で感傷的な日本野球
2,1989,大岡玲,黄昏のストーム・シーディング
3,1990,久間十義,世紀末鯨鯢記
4,1991,佐伯一麦,ア・ルース・ボーイ
5,1992,,
6,1993,車谷長吉,塩壺の匙
6,1993,福田和也,日本の家郷
7,1994,笙野頼子,二百回忌
8,1995,山本昌代,緑色の濁ったお茶あるいは幸福の散歩道
9,1996,松浦寿輝,折口信夫論
10,1997,樋口覚,三絃の誘惑 近代日本精神史覚え書
11,1998,小林恭二,カブキの日
12,1999,鈴木清剛,ロックンロールミシン
12,1999,堀江敏幸,おぱらばん
13,2000,星野智幸,目覚めよと人魚は歌う
14,2001,青山真治,ユリイカ　EUREKA
14,2001,中原昌也,あらゆる場所に花束が……
15,2002,小野正嗣,にぎやかな湾に背負われた船
16,2003,舞城王太郎,阿修羅ガール
17,2004,矢作俊彦,ららら科學の子
18,2005,鹿島田真希,六〇〇〇度の愛
19,2006,古川日出男,LOVE
20,2007,佐藤友哉,1000の小説とバックベアード
21,2008,田中慎弥,切れた鎖
22,2009,前田司郎,夏の水の半魚人
23,2010,東浩紀,クォンタム・ファミリーズ
24,2011,今村夏子,こちらあみ子
25,2012,青木淳悟,私のいない高校
26,2013,村田沙耶香,しろいろの街の、その骨の体温の
27,2014,本谷由紀子,自分を好きになる方法
28,2015,上田岳弘,私の恋人
29,2016,蓮實重彦,伯爵夫人
30,2017,宮内悠介,カブールの園
